# f1  f2
0.653837 1.973220
0.652721 1.977987
0.652083 1.982227
0.648614 1.990542
0.647641 1.999270
0.645684 2.007578
0.645684 2.007578
0.643964 2.021818
0.643740 2.029213
0.642566 2.035153
0.641534 2.044869
0.641481 2.051611
0.640415 2.057858
0.640190 2.062560
0.639019 2.075671
0.638668 2.086711
0.637695 2.094586
0.636741 2.103939
0.636741 2.103939
0.635197 2.121293
0.635032 2.130144
0.634428 2.141500
0.634123 2.152120
0.633259 2.156994
0.632366 2.171921
0.632366 2.171921
0.631142 2.196695
0.630442 2.209190
0.629995 2.217221
0.461939 2.230807
0.461939 2.230807
0.461939 2.230807
0.461939 2.230807
0.461939 2.230807
0.461939 2.230807
0.461939 2.230807
0.454900 2.234193
0.452302 2.243525
0.450890 2.252619
0.447720 2.262816
0.446312 2.274870
0.444394 2.285959
0.443170 2.295042
0.441522 2.312094
0.440358 2.324171
0.438675 2.338171
0.438675 2.338171
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.262797 2.365130
0.257199 2.368471
0.251600 2.380104
0.247644 2.390764
0.243930 2.396000
0.240654 2.414696
0.237855 2.430494
0.234379 2.438967
0.232535 2.442687
0.230891 2.480320
0.226677 2.491611
0.225573 2.519051
0.222451 2.536358
0.218628 2.558068
0.215534 2.564077
0.211749 2.590400
0.209654 2.620681
0.205235 2.642194
0.202647 2.670735
0.199863 2.708073
0.194375 2.737366
0.189330 2.768014
0.187139 2.816688
0.180055 2.830156
0.174075 2.871157
0.161533 2.913595
0.112193 2.930067
0.112193 2.930067
0.112193 2.930067
0.112193 2.930067
0.096917 2.933166
0.095922 2.933397
0.085157 2.953957
0.071978 2.967434
0.065620 3.005386
0.055854 3.035726
0.045161 3.095061
0.035336 3.154874
0.025302 3.238909
0.013513 3.340565
0.000070 3.530351
